premise_name,opening_date,closing_date,premise_address1
DALE'S INDIAN CUISINE,11/18/2002 12:00:00 AM,,811 NINTH ST
JASON S DELI,12/20/2002 12:00:00 AM,,5408 NEW HOPE COMMONS DR
WENDY'S  8966,1/16/2003 12:00:00 AM,,910 MLK PKWY
NEW CHINA,10/29/1997 12:00:00 AM,,6118 FARRINGTON RD
RANDY'S PIZZA,3/3/2003 12:00:00 AM,,5311 S MIAMI BLVD
DOG HOUSE,3/3/2003 12:00:00 AM,,2110 ALLENDOWN DR
KROGER R 381 DELI,3/3/2003 12:00:00 AM,,3825 S ROXBORO ST
PHILLY STEAK FACTORY,11/28/1995 12:00:00 AM,,5410 NEW HOPE COMMONS DRIVE
CHINA STAR,3/26/2003 12:00:00 AM,,4639 HILLSBOROUGH RD
CHINA WOK,3/26/2003 12:00:00 AM,,3825 S ROXBORO ST
Q SHACK,3/26/2003 12:00:00 AM,,2510 UNIVERSITY DRIVE
RUBY TUESDAYS #2760,7/1/1990 12:00:00 AM,,1058 W  CLUB BLVD
AMANTE PIZZA,5/15/2003 12:00:00 AM,,3825 S ROXBORO ST
FRANCESCAS,7/18/2003 12:00:00 AM,,706 B NINTH ST
BALI HAI MONGOLIAN GRILL,6/18/2003 12:00:00 AM,,811 NINTH STREET
NINTH STREET BAKERY,6/18/2003 12:00:00 AM,,136 E CHAPEL HILL ST
QUALITY MART  43,6/18/2003 12:00:00 AM,,2007 PRESIDENTIAL DRIVE
SUBWAY 29857,6/18/2003 12:00:00 AM,,3825 S ROXBORO RD
SUBWAY,10/6/2003 12:00:00 AM,,2405 CHAPEL HILL BLVD
HAMPTON INN AND SUITES CHAPEL HILL,10/6/2003 12:00:00 AM,,6121 FARRINGTON RD
BOJANGLES #32,10/6/2003 12:00:00 AM,,5425 S MIAMI BLVD
IHOP,11/6/2003 12:00:00 AM,,1821 NORTH POINTE DR
KWIK WOK,11/6/2003 12:00:00 AM,,3723 WAKE FOREST HWY
PUPUSERIA AND TAQUERIA ORELLANA,11/17/2003 12:00:00 AM,,5300 N ROXBORO RD
WOK N GRILL,10/22/2002 12:00:00 AM,,5311 S MIAMI BLVD
"SUBWAY, TRIANGLE 12718",11/17/2003 12:00:00 AM,,1534 S MIAMI BLVD
RANDY'S PIZZA,11/29/2001 12:00:00 AM,,"4810 HOPE VALLEY RD, SUITE 112"
SUPER TAQUERIA,11/17/2003 12:00:00 AM,,2842 N ROXBORO RD
P F CHANG S CHINA BISTRO,12/15/2003 12:00:00 AM,,6801 FAYETTEVILLE ROAD
MOE'S SOUTH WEST GRILL,3/8/2004 12:00:00 AM,,6807 FAYETTEVILLE RD
TED'S MONTANA GRILL,3/8/2004 12:00:00 AM,,6911 FAYETTEVILLE RD
TARGET FOOD AVE T1872,1/10/2005 12:00:00 AM,,4037 CHAPEL HILL BLVD
TARGET BAKERY DELI AND STARBUCKS T1872,3/11/2004 12:00:00 AM,,4037 CHAPEL HILL BLVD
JERSEY MIKE'S,3/23/2004 12:00:00 AM,,3600 N DUKE ST
DRAGON GATE,3/8/2001 12:00:00 AM,,2000 CHAPEL HILL ROAD
TELEFLEX MEDICAL,5/19/2004 12:00:00 AM,,2917 WECK DR
CITY BEVERAGE,5/19/2004 12:00:00 AM,,4810 HOPE VALLEY ROAD
FEDERAL  THE,5/19/2004 12:00:00 AM,,914 W MAIN ST
DRAGON EXPRESS,5/19/2004 12:00:00 AM,,1720 GUESS ROAD SUITE 18
TEXAS ROADHOUSE,5/19/2004 12:00:00 AM,,1809 NORTH POINT DR
LA QUINTA INN FOOD SERV  184,5/26/2004 12:00:00 AM,,1910 WESTPARK DRIVE
CHILI'S,6/15/2004 12:00:00 AM,,6917 FAYETTEVILLE ROAD
LA QUINTA INN AND SUITES,7/28/2004 12:00:00 AM,,4414 CHAPEL HILL BLVD
SUBWAY,7/28/2004 12:00:00 AM,,4830 HWY 55
TAQUERIA EL CHILANGO,8/30/2004 12:00:00 AM,,200 N ALSTON AVE
EMC 2,8/30/2004 12:00:00 AM,,62 TW ALEXANDER DRIVE
THE CEDARS OF CHAPEL HILL,8/30/2004 12:00:00 AM,,100 CEDAR CLUB CIRCLE
SAM'S CLUB 4831 CLUB CAFE,9/29/2004 12:00:00 AM,,4005 CHAPEL HILL BLVD
CHAMAS CHURRAS CARIA,9/29/2004 12:00:00 AM,,905 W MAIN ST
NEW VISIONS OF AFRICA,10/20/2004 12:00:00 AM,,1306 FAYETTEVILLE ST
SUBWAY,10/20/2004 12:00:00 AM,,4600 CHAPEL HILL BLVD
HONG KONG,10/20/2004 12:00:00 AM,,4711 HOPE VALLEY RD
GUGLHUPF CAFE,10/20/2004 12:00:00 AM,,2706 CHAPEL HILL BLVD
CHAI'S NOODLE BAR AND BISTRO,10/20/2004 12:00:00 AM,,2816 ERWIN ROAD
KROGER #374 DELI,1/10/2005 12:00:00 AM,,3420 WATKINS ROAD
STARBUCKS COFFEE 9361,1/10/2005 12:00:00 AM,,6813 FAYETTEVILLE RD
BOCCI TRATTORIA & PIZZERIA,1/25/2005 12:00:00 AM,,5850 FAYETTEVILLE RD
PERKY'S PIZZA,1/26/2005 12:00:00 AM,,3422 RED MILL ROAD
CHO SUN OK,1/25/2005 12:00:00 AM,,2105 E HWY 54
WING STOP,3/8/2005 12:00:00 AM,,202 NC HWY 54
CAPTAIN D'S,3/8/2005 12:00:00 AM,,4300 N ROXBORO RD
CORNING LIFE SCIENCES,3/8/2005 12:00:00 AM,,1 BECTON CIRCLE
BABA GHANNOUJ,3/29/2005 12:00:00 AM,,225 W NC HWY 54
THAI LANA,3/29/2005 12:00:00 AM,,5410 F HWY 55 GREENWOOD COMM
NEW CHINA,4/25/2005 12:00:00 AM,,121 SHERRON ROAD
ARBY'S 7596,4/27/2005 12:00:00 AM,,5503 MIAMI BLVD
CAROLINA ALE HOUSE,4/27/2005 12:00:00 AM,,3911 DURHAM CHAPEL HILL BLVD
I LOVE NY PIZZA,5/17/2005 12:00:00 AM,,5428 NEW HOPE COMMONS
CIRCLE K  6330,6/13/2005 12:00:00 AM,,3308 HWY 55
BRIGGS AT THE PARK,6/13/2005 12:00:00 AM,,4900  NC 55
NORTH CAROLINA SPECIALTY HOSP,6/13/2005 12:00:00 AM,,3916 BEN FRANKLIN BLVD
KROGER 366 DELI,7/29/2005 12:00:00 AM,,1802 NORTH POINT DRIVE
SUBWAY,7/29/2005 12:00:00 AM,,3519 WITHERSPOON BLVD
AKASHI JAPANESE GRILL,7/29/2005 12:00:00 AM,,2223 E NC HWY 54
MELLOW MUSHROOM,7/29/2005 12:00:00 AM,,410 BLACKWELL ST
TYLER'S RESTAURANT AND TAPROOM,8/16/2005 12:00:00 AM,,324 BLACKWELL STREET
TABERNA TAPAS DINER,10/7/2005 12:00:00 AM,,325 W MAIN ST
AZTECA GRILL,10/7/2005 12:00:00 AM,,1929 CHAPEL HILL ROAD
BISCUITVILLE,10/7/2005 12:00:00 AM,,1806 HOLLOWAY ST
MT FUJI SUSHI AND BAR,10/20/2005 12:00:00 AM,,905 W MAIN ST SUITE 21B
CHEESECAKE FACTORY/DURHAM NC,10/20/2005 12:00:00 AM,,8030 RENNISANCE PARKWAY
SUPER TARGET DELI 2069,10/20/2005 12:00:00 AM,,8210 RENAISSANCE PARKWAY
SUPER TARGET FOOD AVENUE 2069,10/20/2005 12:00:00 AM,,8210 RENAISSANCE PARKWAY
LA SUPERIOR RESTAURANT,10/20/2005 12:00:00 AM,,3325 N ROXBORO RD
THAI CHINA BUFFET,1/6/2006 12:00:00 AM,,4900 HWY 55
SUBWAY,1/4/2006 12:00:00 AM,,200 E MAIN ST
PULCINELLA,1/4/2006 12:00:00 AM,,4711 HOPE VALLEY RD
BIO MERIEUX,2/2/2006 12:00:00 AM,,100 RODOLPHE ST
MCDONALDS #368,2/2/2006 12:00:00 AM,,2010 N ROXBORO ROAD
TOMATO JAKE'S PIZZERIA,2/2/2006 12:00:00 AM,,8202 RENAISSANCE PARKWAY
THAI CAFE,3/31/2006 12:00:00 AM,,2501 UNIVERSITY DRIVE
NOSH,3/31/2006 12:00:00 AM,,2812 ERWIN RD
BIO MERIEUX,3/8/2006 12:00:00 AM,,1101 HAMLIN RD
COURTYARD CAFE,3/31/2006 12:00:00 AM,,1815 FRONT ST
BENETIS,3/8/2006 12:00:00 AM,,5410 Q HWY 55
KANGAROO EXPRESS  3780,4/10/2006 12:00:00 AM,,3321 APEX HWY
HOLIDAY INN EXPRESS,4/10/2006 12:00:00 AM,,4912 S MIAMI BLVD
DURHAM HILTON FOODSERVICE,4/10/2006 12:00:00 AM,,3800 HILLSBOROUGH RD
CRUIZERS  20,6/18/2003 12:00:00 AM,,1914 SEDWICK ROAD
TONALI RESTAURANT,7/19/2006 12:00:00 AM,,3642 SHANNON RD
MCDONALDS,8/3/2006 12:00:00 AM,,102 MORGAN ST
KFC,9/6/2006 12:00:00 AM,,511 HORTON RD
KFC,9/6/2006 12:00:00 AM,,806 FAYETTEVILLE ST
SUBWAY  39636,1/9/2007 12:00:00 AM,,5400 S MIAMI BLVD
C AND H CAFETERIA,1/9/2007 12:00:00 AM,,1720 GUESS RD
RED ROBIN GOURMET BURGERS,1/10/2007 12:00:00 AM,,5313 NEW HOPE COMMONS DR.
METRO 8,1/9/2007 12:00:00 AM,,746 NINTH ST
RANDY'S PIZZA,10/16/2006 12:00:00 AM,,1720 GUESS RD
NANTUCKET GRILL AND BAR,1/9/2007 12:00:00 AM,,5826 FAYETTEVILLE ROAD SUITE 101
CARRABBAS ITALIAN GRILL,1/8/2007 12:00:00 AM,,5312 NEW HOPE COMMONS EXTENS
CICI'S PIZZA,1/8/2007 12:00:00 AM,,4600 CHAPEL HILL BLVD
FIREHOUSE SUBS,1/31/2007 12:00:00 AM,,5319 NEW HOPE COMMONS
CHINA KITCHEN,2/9/2007 12:00:00 AM,,2121 ALEXANDER
PIPER'S DELI,2/9/2007 12:00:00 AM,,3219 OLD CHAPEL HILL RD
STARBUCK'S  9715,2/9/2007 12:00:00 AM,,5319 NEW HOPE COMMONS EXTENS
CHICK FIL A @ SOUTH SQUARE,2/9/2007 12:00:00 AM,,4120 UNIVERSITY DRIVE
DAIN'S PLACE,2/16/2007 12:00:00 AM,,754 NINTH ST
ALIVIA'S,2/16/2007 12:00:00 AM,,900 W MAIN ST
PIAZZA ITALIA,2/16/2007 12:00:00 AM,,905 W MAIN ST
SUBWAY  #11873,2/16/2007 12:00:00 AM,,121 SHERRON RD
MELTING POT,2/16/2007 12:00:00 AM,,7011 FAYETTEVILLE RD
TWISTED NOODLES,4/13/2007 12:00:00 AM,,4201 UNIVERSITY DR #112
HOG HEAVEN,4/13/2007 12:00:00 AM,,2419 GUESS RD
EL RODEO,4/13/2007 12:00:00 AM,,3404 WESTGATE DR
STARBUCK'S,4/30/2007 12:00:00 AM,,4834 NC HWY 55
SHEETZ 398,4/30/2007 12:00:00 AM,,3021 S MIAMI BLVD
BULL MCCABE'S,4/30/2007 12:00:00 AM,,427 WEST MAIN ST
TAQUERIA EVA Y GABY,4/30/2007 12:00:00 AM,,401 E LAKEWOOD AVE
CHINA STAR,5/21/2007 12:00:00 AM,,5128 N ROXBORO RD
TOKYO EXPRESS,5/21/2007 12:00:00 AM,,3225 GUESS RD
POMODORO,5/21/2007 12:00:00 AM,,1811 HILLANDALE RD
BACKYARD BARBQUE PITT,6/19/2007 12:00:00 AM,,5122 NC HWY 55
THE NEW BYRDS BBQ AND CHICKEN,3/8/2005 12:00:00 AM,,2816 CHEEK ROAD
PARKER & OTIS,7/12/2007 12:00:00 AM,,112 S DUKE ST
JOE VAN GOGH,7/12/2007 12:00:00 AM,,1104 BROAD ST
STARBUCKS #13656,7/12/2007 12:00:00 AM,,3801 GUESS RD
BLU SEAFOOD AND BAR,8/23/2007 12:00:00 AM,,2002 HILLSBOROUGH RD
